Category ,Product,Price,Store,Type,Neighborhood,Zip Code ,City ,Income,Population
Drink,12 Pack Coke,5.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63874,47842
Drink,12 Pack Coke,5.99,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Drink,12 Pack Coke,5.49,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Drink,12 Pack Coke,4.97,H-E-B ,Grocery,Downtown,77005,Houston,260839,27187
Drink,12 Pack Coke,4.47,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Drink,12 Pack Coke,4.99,Kroger,Grocery,Baytown,77520,Houston,57066,38348
Drink,12 Pack Coke,4.99,Kroger Fresh Fare,Small Format,Downtown,77006,Houston,115035,21795
Drink,12 Pack Coke,5.49,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Drink,12 Pack Coke,6.19,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Drink,12 Pack Coke,4.18,Walmart,Grocery,Humble,77396,Houston,76211,48587
Drink,12 Pack Coke,7.58,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Drink,12 Pack Coke,5.49,Whole Foods,High-end Grocery,River Oaks,77019,Houston,175857,20644
Drink,12 Pack Sprite,5.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63875,47843
Drink,12 Pack Sprite,5.99,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Drink,12 Pack Sprite,5.49,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Drink,12 Pack Sprite,4.97,H-E-B ,Grocery,Downtown,77005,Houston,260839,27187
Drink,12 Pack Sprite,4.47,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Drink,12 Pack Sprite,4.99,Kroger,Grocery,Baytown,77520,Houston,57066,38348
Drink,12 Pack Sprite,4.99,Kroger Fresh Fare,Small Format,Downtown,77006,Houston,115035,21795
Drink,12 Pack Sprite,5.49,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Drink,12 Pack Sprite,6.19,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Drink,12 Pack Sprite,4.48,Walmart,Grocery,Humble,77396,Houston,76211,48587
Drink,12 Pack Sprite,7.58,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Drink,12 Pack Sprite,4.97,Whole Foods,High-end Grocery,River Oaks,77019,Houston,175857,20644
Drink,Almond milk,3.69,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63884,47852
Drink,Almond milk,2,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Drink,Almond milk,4.49,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Drink,Almond milk,2.59,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Drink,Almond milk,6.25,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Drink,Almond milk,2.59,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Drink,Almond milk,3.69,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Drink,Almond milk,3.99,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Drink,Almond milk,2.49,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Drink,Almond milk,2.19,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Fruit,Banana $/lb,0.55,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63871,47839
Fruit,Banana $/lb,0.48,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Fruit,Banana $/lb,0.49,Fiesta,Grocery,Downtwon,77004,Houston,80379,35739
Fruit,Banana $/lb,0.69,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Fruit,Banana $/lb,0.48,H-E-B ,Grocery,Downtown,77005,Houston,260839,27187
Fruit,Banana $/lb,0.48,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Fruit,Banana $/lb,0.49,Kroger,Grocery,Baytown,77520,Houston,57066,38348
Fruit,Banana $/lb,0.49,Kroger Fresh Fare,Small Format,Downtown,77006,Houston,115035,21795
Fruit,Banana $/lb,0.79,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Fruit,Banana $/lb,0.44,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Fruit,Banana $/lb,0.48,Walmart,Grocery,Humble,77396,Houston,76211,48587
